,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
58,2023-09-19,245.71720514518776,231.30793106642057,268.44877273337795,245.71720514518776,245.71720514518776,4.08929683127544,4.08929683127544,4.08929683127544,4.08929683127544,4.08929683127544,4.08929683127544,0.0,0.0,0.0,249.8065019764632
59,2023-09-20,245.49974836125094,230.8028690943617,267.4252270377376,245.49974836125094,245.49974836125094,3.923593448959549,3.923593448959549,3.923593448959549,3.923593448959549,3.923593448959549,3.923593448959549,0.0,0.0,0.0,249.42334181021047
60,2023-09-21,245.28229157731414,229.3728634228702,267.5996293829208,245.28229157731414,245.28229157731414,2.1785020939139605,2.1785020939139605,2.1785020939139605,2.1785020939139605,2.1785020939139605,2.1785020939139605,0.0,0.0,0.0,247.4607936712281
61,2023-09-22,245.06483479337734,227.83577073077825,266.08891322616046,245.06483479337734,245.06483479337734,1.3977912899969156,1.3977912899969156,1.3977912899969156,1.3977912899969156,1.3977912899969156,1.3977912899969156,0.0,0.0,0.0,246.46262608337426
62,2023-09-25,244.4124644415669,228.66394637673721,267.958589998658,244.4124644415669,244.4124644415669,2.596004053360577,2.596004053360577,2.596004053360577,2.596004053360577,2.596004053360577,2.596004053360577,0.0,0.0,0.0,247.00846849492748
63,2023-09-26,244.1950076576301,227.8203418088771,267.27138401380597,244.1950076576301,244.1950076576301,4.089296831277077,4.089296831277077,4.089296831277077,4.089296831277077,4.089296831277077,4.089296831277077,0.0,0.0,0.0,248.28430448890717
64,2023-09-27,243.9775508736933,228.5428513414064,266.86160363973784,243.9775508736933,243.9775508736933,3.9235934489640476,3.9235934489640476,3.9235934489640476,3.9235934489640476,3.9235934489640476,3.9235934489640476,0.0,0.0,0.0,247.90114432265736
65,2023-09-28,243.76009409660304,227.92833797944022,265.2042917705685,243.76009409660304,243.76009409660304,2.1785020939153497,2.1785020939153497,2.1785020939153497,2.1785020939153497,2.1785020939153497,2.1785020939153497,0.0,0.0,0.0,245.93859619051838
66,2023-09-29,243.54263731951275,226.14469351991556,263.81258613044434,243.54263731951275,243.54263731951275,1.3977912899842317,1.3977912899842317,1.3977912899842317,1.3977912899842317,1.3977912899842317,1.3977912899842317,0.0,0.0,0.0,244.940428609497
67,2023-10-02,242.89026698824193,228.34127125451425,264.32966003650046,242.89026698824193,242.89026698824193,2.596004053367818,2.596004053367818,2.596004053367818,2.596004053367818,2.596004053367818,2.596004053367818,0.0,0.0,0.0,245.48627104160974
68,2023-10-03,242.67281021115164,227.2960306013862,266.4389468118262,242.67281021115164,242.67281021115164,4.089296831278716,4.089296831278716,4.089296831278716,4.089296831278716,4.089296831278716,4.089296831278716,0.0,0.0,0.0,246.76210704243036
69,2023-10-04,242.4553534340614,227.251870699923,266.4923104682239,242.4553534340614,242.4553534340614,3.9235934489632105,3.9235934489632105,3.9235934489632105,3.9235934489632105,3.9235934489632105,3.9235934489632105,0.0,0.0,0.0,246.3789468830246
70,2023-10-05,242.23789665697115,225.14366556611745,263.6497914436736,242.23789665697115,242.23789665697115,2.1785020939167383,2.1785020939167383,2.1785020939167383,2.1785020939167383,2.1785020939167383,2.1785020939167383,0.0,0.0,0.0,244.41639875088788
71,2023-10-06,242.02043987988085,226.05240421845045,262.5773258339859,242.02043987988085,242.02043987988085,1.3977912899845801,1.3977912899845801,1.3977912899845801,1.3977912899845801,1.3977912899845801,1.3977912899845801,0.0,0.0,0.0,243.41823116986544
72,2023-10-09,241.36806954861004,224.26360884249422,262.70575680655213,241.36806954861004,241.36806954861004,2.5960040533429987,2.5960040533429987,2.5960040533429987,2.5960040533429987,2.5960040533429987,2.5960040533429987,0.0,0.0,0.0,243.96407360195303
73,2023-10-10,241.15061285152683,225.27284547568843,261.7155265485813,241.15061285152683,241.15061285152683,4.089296831273683,4.089296831273683,4.089296831273683,4.089296831273683,4.089296831273683,4.089296831273683,0.0,0.0,0.0,245.23990968280052
74,2023-10-11,240.93315615444365,224.8285789388132,264.516291363433,240.93315615444365,240.93315615444365,3.9235934489619266,3.9235934489619266,3.9235934489619266,3.9235934489619266,3.9235934489619266,3.9235934489619266,0.0,0.0,0.0,244.85674960340558
75,2023-10-12,240.71569945736044,224.55494907759015,262.5178363842712,240.71569945736044,240.71569945736044,2.1785020939143873,2.1785020939143873,2.1785020939143873,2.1785020939143873,2.1785020939143873,2.1785020939143873,0.0,0.0,0.0,242.89420155127482
76,2023-10-13,240.49824276027726,224.12235549319536,259.5493068185555,240.49824276027726,240.49824276027726,1.39779129000421,1.39779129000421,1.39779129000421,1.39779129000421,1.39779129000421,1.39779129000421,0.0,0.0,0.0,241.8960340502815
77,2023-10-16,239.84587266902767,222.94387724493893,260.10132410566746,239.84587266902767,239.84587266902767,2.59600405335024,2.59600405335024,2.59600405335024,2.59600405335024,2.59600405335024,2.59600405335024,0.0,0.0,0.0,242.4418767223779
78,2023-10-17,239.6284159719445,224.24591344235114,263.4517215645091,239.6284159719445,239.6284159719445,4.089296831275321,4.089296831275321,4.089296831275321,4.089296831275321,4.089296831275321,4.089296831275321,0.0,0.0,0.0,243.71771280321983
79,2023-10-18,239.41095927486128,222.86367112221347,261.421850126715,239.41095927486128,239.41095927486128,3.9235934489610895,3.9235934489610895,3.9235934489610895,3.9235934489610895,3.9235934489610895,3.9235934489610895,0.0,0.0,0.0,243.33455272382238
80,2023-10-19,239.19350257777808,222.92557332153956,261.8317216490933,239.19350257777808,239.19350257777808,2.1785020939165562,2.1785020939165562,2.1785020939165562,2.1785020939165562,2.1785020939165562,2.1785020939165562,0.0,0.0,0.0,241.37200467169464
81,2023-10-20,238.97604588472916,220.93534553719567,259.5369667734206,238.97604588472916,238.97604588472916,1.3977912900045588,1.3977912900045588,1.3977912900045588,1.3977912900045588,1.3977912900045588,1.3977912900045588,0.0,0.0,0.0,240.37383717473372
82,2023-10-23,238.32367580558235,222.3050225327458,259.5596951283296,238.32367580558235,238.32367580558235,2.596004053357481,2.596004053357481,2.596004053357481,2.596004053357481,2.596004053357481,2.596004053357481,0.0,0.0,0.0,240.91967985893984
83,2023-10-24,238.1062191125334,223.04060573341158,260.973549469967,238.1062191125334,238.1062191125334,4.089296831278791,4.089296831278791,4.089296831278791,4.089296831278791,4.089296831278791,4.089296831278791,0.0,0.0,0.0,242.1955159438122
84,2023-10-25,237.8887624194845,223.98383270931936,261.44588740831006,237.8887624194845,237.8887624194845,3.9235934489602533,3.9235934489602533,3.9235934489602533,3.9235934489602533,3.9235934489602533,3.9235934489602533,0.0,0.0,0.0,241.81235586844474
85,2023-10-26,237.67130572643558,221.16501858518717,258.6583704802731,237.67130572643558,237.67130572643558,2.178502093914205,2.178502093914205,2.178502093914205,2.178502093914205,2.178502093914205,2.178502093914205,0.0,0.0,0.0,239.84980782034978
86,2023-10-27,237.45384903338663,219.8477672320554,258.44017970736985,237.45384903338663,237.45384903338663,1.3977912899983915,1.3977912899983915,1.3977912899983915,1.3977912899983915,1.3977912899983915,1.3977912899983915,0.0,0.0,0.0,238.85164032338503
87,2023-10-30,236.80147895423985,220.65361925934957,257.8209685632653,236.80147895423985,236.80147895423985,2.5960040533647217,2.5960040533647217,2.5960040533647217,2.5960040533647217,2.5960040533647217,2.5960040533647217,0.0,0.0,0.0,239.39748300760456
88,2023-10-31,236.5840222611909,222.158437223852,257.1687036250417,236.5840222611909,236.5840222611909,4.08929683128043,4.08929683128043,4.08929683128043,4.08929683128043,4.08929683128043,4.08929683128043,0.0,0.0,0.0,240.67331909247133
89,2023-11-01,236.36658373416554,220.48773056860333,258.8890326192786,236.36658373416554,236.36658373416554,3.9235934489589694,3.9235934489589694,3.9235934489589694,3.9235934489589694,3.9235934489589694,3.9235934489589694,0.0,0.0,0.0,240.2901771831245
90,2023-11-02,236.14914520714015,219.03880659291968,255.49346122212836,236.14914520714015,236.14914520714015,2.178502093919334,2.178502093919334,2.178502093919334,2.178502093919334,2.178502093919334,2.178502093919334,0.0,0.0,0.0,238.32764730105947
91,2023-11-03,235.9317066801148,217.61344596928572,256.4463597745979,235.9317066801148,235.9317066801148,1.3977912899922238,1.3977912899922238,1.3977912899922238,1.3977912899922238,1.3977912899922238,1.3977912899922238,0.0,0.0,0.0,237.329497970107
92,2023-11-06,235.27939109903872,219.43996439578675,256.0975111721343,235.27939109903872,235.27939109903872,2.596004053365726,2.596004053365726,2.596004053365726,2.596004053365726,2.596004053365726,2.596004053365726,0.0,0.0,0.0,237.87539515240445
93,2023-11-07,235.06195257201333,221.65571249113984,258.55998599063844,235.06195257201333,235.06195257201333,4.089296831278731,4.089296831278731,4.089296831278731,4.089296831278731,4.089296831278731,4.089296831278731,0.0,0.0,0.0,239.15124940329207
94,2023-11-08,234.84451404498796,218.47304447891585,257.8573670445163,234.84451404498796,234.84451404498796,3.923593448958133,3.923593448958133,3.923593448958133,3.923593448958133,3.923593448958133,3.923593448958133,0.0,0.0,0.0,238.7681074939461
95,2023-11-09,234.6270755179626,216.0350334868653,257.09666838041323,234.6270755179626,234.6270755179626,2.1785020939140223,2.1785020939140223,2.1785020939140223,2.1785020939140223,2.1785020939140223,2.1785020939140223,0.0,0.0,0.0,236.80557761187663
96,2023-11-10,234.4096369909372,216.61382554264412,253.83623934246629,234.4096369909372,234.4096369909372,1.397791289986057,1.397791289986057,1.397791289986057,1.397791289986057,1.397791289986057,1.397791289986057,0.0,0.0,0.0,235.80742828092326
97,2023-11-13,233.7573214275367,217.98147874238822,255.53657844184,233.7573214275367,233.7573214275367,2.5960040533792035,2.5960040533792035,2.5960040533792035,2.5960040533792035,2.5960040533792035,2.5960040533792035,0.0,0.0,0.0,236.3533254809159
